יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Lenovo,2021,0,ללא,1.65,IdeaPad 3,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,4.0,0.03637106661217818,0
Asus,2022,0,Windows  10,1.8,לא רלוונטי,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,OLED,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,4.0,0.12970984879444217,0
Asus,2021,0,Windows 10 PRO,0.75,ExpertBook B9,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,1000,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris X Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ax,0,4.0,0.23514507560277892,0
Lenovo,2022,0,Windows 11 Home,2.1,IdeaPad 3,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,17.3,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,4.0,0.09354311401716388,0
Lenovo,2021,0,ללא,1.7,ThinkBook 15,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Intel Iris X Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB","כולל , 802.11ac",0,4.0,0.08637106661217818,0
Asus,2021,0,ללא,1.8,לא רלוונטי,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,4.0,0.042031058438904784,0
Lenovo,2022,0,Windows 11 Home,1.5,IdeaPad Flex 5,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,NVIDIA GeForce MX450,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,4.0,0.1481610134859011,750
Asus,2021,1,Windows  10,2.0,TUF Dash F15,Intel Core i7,16.0,3300.0,11370H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,144.0,0,NVIDIA GeForce RTX 3050,לא כולל,לא כולל,"DisplayPort , Thunderbolt , HDMI , Bluetooth , USB",WiFi 6,0,4.0,0.17470371883939517,0
Dell,2022,0,ללא,1.69,Vostro 3510,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , HDMI , Bluetooth , USB",כולל,0,4.0,0.08058847568451165,0
Lenovo,2021,0,Windows  10,1.66,IdeaPad 5,Intel Core i3,4.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Integrated Intel UHD Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,4.0,0.0465059256232121,0
Lenovo,2021,0,Windows 10 PRO,1.2,ThinkBook 13s,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,13.3,0.15365807786345684,LCD,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,4.0,0.09589293011851246,0
Dell,2021,0,Windows 10 PRO,1.22,Latitude 7420,Intel Core i5,16.0,2600.0,1145G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,לא כולל,"DisplayPort , Thunderbolt , Card Reader , USB-C , HDMI , Bluetooth , USB",כולל,0,4.0,0.1819983653453208,0
Lenovo,2022,0,Windows 11 Home,1.5,IdeaPad Flex 5,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,LCD,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,4.0,0.09924397221087046,750
Asus,2021,0,ללא,1.8,לא רלוונטי,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,OLED,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,4.0,0.09591336330200245,0
Dell,2021,0,Windows 11 Pro,1.63,Vostro 5510,Intel Core i5,8.0,3200.0,11320H,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , DisplayPort , USB-C , HDMI , Bluetooth , USB",כולל,0,5.0,0.129995913363302,0
Lenovo,2021,0,Windows 10 PRO,1.7,ThinkBook 15,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,5.0,0.10414793624846751,0
HP,2021,0,Windows 10 PRO,1.74,HP250,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,5.0,0.06299550469963221,0
